order_id,order_date,city,device_type,traffic_source,payment_method,website_visitors,added_to_cart,started_checkout,payment_success,order_value
75,2026-02-13,Zarqa,Mobile,Email,Card,3,0,0,0,0.0
76,2026-01-11,Aqaba,Desktop,Organic,Card,2,1,1,1,42.98
77,2026-02-07,Zarqa,Desktop,Email,Cash,2,1,1,1,25.3
78,2026-02-15,Amman,Mobile,Paid Ads,Card,4,1,1,1,15.59
79,2026-03-03,Zarqa,Mobile,Paid Ads,Cash,3,1,0,0,0.0
80,2026-01-30,Amman,Desktop,Paid Ads,Wallet,3,1,1,1,20.09
81,2026-03-04,Zarqa,Desktop,TikTok,Cash,1,0,0,0,0.0
82,2026-02-13,Zarqa,Desktop,Organic,Card,2,0,0,0,0.0
83,2026-02-21,Zarqa,Mobile,Paid Ads,Card,4,1,1,1,13.21
84,2026-03-13,Aqaba,Desktop,Instagram,Wallet,4,1,1,1,33.74
85,2026-02-24,Amman,Mobile,Paid Ads,Cash,3,1,1,0,0.0
86,2026-03-26,Aqaba,Desktop,Instagram,Card,1,1,1,1,5.15
87,2026-01-30,Zarqa,Mobile,TikTok,Card,3,1,1,1,42.81
88,2026-03-11,Irbid,Mobile,Organic,Card,2,1,0,0,0.0
89,2026-02-09,Zarqa,Desktop,Instagram,Wallet,5,1,1,1,11.84
90,2026-03-11,Zarqa,Desktop,Organic,Card,4,1,1,0,0.0
91,2026-01-30,Amman,Mobile,TikTok,Wallet,5,1,1,1,50.18
92,2026-03-25,Irbid,Desktop,TikTok,Card,4,0,0,0,0.0
93,2026-03-02,Aqaba,Desktop,Instagram,Wallet,3,1,1,1,13.85
94,2026-02-21,Aqaba,Mobile,Email,Cash,5,1,1,1,11.38
95,2026-02-22,Amman,Mobile,Instagram,Wallet,1,1,1,1,39.4
96,2026-01-17,Irbid,Mobile,Instagram,Wallet,3,1,1,1,58.52
97,2026-01-02,Amman,Mobile,TikTok,Wallet,5,1,1,1,11.24
98,2026-02-07,Aqaba,Mobile,TikTok,Card,5,1,1,1,30.97
99,2026-03-18,Aqaba,Desktop,Email,Cash,5,1,1,1,47.5
100,2026-01-01,Irbid,Desktop,Email,Cash,3,1,1,1,41.3
101,2026-02-14,Irbid,Mobile,Email,Cash,3,1,1,1,22.7
102,2026-01-30,Aqaba,Mobile,TikTok,Card,4,1,1,1,49.63
103,2026-01-17,Zarqa,Mobile,TikTok,Card,5,0,0,0,0.0
104,2026-03-09,Irbid,Mobile,TikTok,Cash,4,1,1,0,0.0
105,2026-02-13,Aqaba,Desktop,TikTok,Wallet,5,1,1,1,51.88
106,2026-01-05,Amman,Desktop,Organic,Wallet,5,1,1,1,59.86
107,2026-01-13,Amman,Desktop,Instagram,Cash,4,1,1,1,22.84
108,2026-02-25,Irbid,Mobile,Email,Cash,2,1,1,1,14.9
109,2026-03-21,Aqaba,Desktop,Organic,Cash,2,1,1,1,40.08
110,2026-02-06,Aqaba,Desktop,TikTok,Cash,5,1,1,1,37.32
111,2026-01-26,Amman,Mobile,TikTok,Wallet,4,0,0,0,0.0
112,2026-02-15,Aqaba,Desktop,Organic,Wallet,5,1,1,1,50.65
113,2026-03-29,Aqaba,Desktop,Paid Ads,Wallet,1,0,0,0,0.0
114,2026-02-15,Irbid,Mobile,Organic,Cash,2,1,1,1,44.65
115,2026-02-26,Aqaba,Mobile,Paid Ads,Card,1,1,1,1,21.23
116,2026-03-11,Irbid,Desktop,TikTok,Cash,3,1,0,0,0.0
117,2026-02-13,Aqaba,Desktop,Organic,Cash,1,1,1,1,17.41
118,2026-01-02,Aqaba,Desktop,Organic,Wallet,3,1,1,1,41.98
119,2026-01-30,Zarqa,Mobile,Organic,Wallet,4,1,0,0,0.0
120,2026-03-01,Aqaba,Mobile,Organic,Card,3,1,1,1,7.05
121,2026-03-10,Aqaba,Mobile,TikTok,Wallet,2,1,1,0,0.0
122,2026-01-13,Zarqa,Mobile,Instagram,Card,4,1,0,0,0.0
123,2026-02-26,Zarqa,Mobile,Instagram,Wallet,4,0,0,0,0.0
124,2026-03-24,Aqaba,Mobile,Paid Ads,Wallet,3,1,1,0,0.0
125,2026-03-23,Amman,Desktop,Paid Ads,Card,5,0,0,0,0.0
126,2026-03-14,Irbid,Desktop,Paid Ads,Wallet,2,1,1,1,16.88
127,2026-01-01,Irbid,Mobile,Email,Cash,3,0,0,0,0.0
128,2026-01-23,Irbid,Desktop,Organic,Card,1,1,1,1,48.45
129,2026-02-03,Aqaba,Desktop,Email,Wallet,1,1,1,1,8.5
130,2026-01-14,Amman,Desktop,TikTok,Wallet,4,1,0,0,0.0
131,2026-01-04,Aqaba,Desktop,Organic,Cash,1,0,0,0,0.0
132,2026-02-26,Zarqa,Mobile,Organic,Card,1,0,0,0,0.0
133,2026-02-05,Zarqa,Desktop,Email,Wallet,5,1,1,1,59.7
134,2026-02-25,Amman,Mobile,TikTok,Cash,1,0,0,0,0.0
135,2026-01-30,Aqaba,Desktop,Instagram,Cash,4,1,1,1,10.23
136,2026-01-20,Zarqa,Mobile,Email,Card,4,1,1,1,10.31
137,2026-03-17,Aqaba,Mobile,Instagram,Wallet,5,1,1,1,53.05
138,2026-02-09,Amman,Desktop,Email,Cash,3,1,1,1,31.52
139,2026-01-15,Amman,Desktop,Organic,Card,3,1,1,1,58.6
140,2026-02-04,Zarqa,Mobile,Paid Ads,Card,3,0,0,0,0.0
141,2026-03-14,Amman,Mobile,TikTok,Cash,4,1,1,0,0.0
142,2026-02-28,Amman,Mobile,Paid Ads,Card,3,1,1,1,56.78
143,2026-03-21,Aqaba,Desktop,Instagram,Card,1,1,1,1,31.71
144,2026-03-07,Zarqa,Mobile,Paid Ads,Cash,1,1,1,1,37.62
145,2026-03-18,Zarqa,Desktop,Instagram,Card,1,1,1,1,12.55
146,2026-01-01,Zarqa,Mobile,TikTok,Wallet,4,1,1,1,43.7
147,2026-01-06,Zarqa,Desktop,Email,Cash,4,1,0,0,0.0
148,2026-03-23,Irbid,Desktop,Instagram,Card,4,1,1,0,0.0
149,2026-02-25,Zarqa,Desktop,Paid Ads,Cash,1,1,1,1,26.77
150,2026-01-22,Zarqa,Desktop,Paid Ads,Card,1,1,1,1,54.83
151,2026-01-14,Amman,Mobile,TikTok,Cash,2,1,1,1,46.75
152,2026-03-14,Zarqa,Desktop,Paid Ads,Cash,5,1,0,0,0.0
153,2026-01-09,Amman,Desktop,TikTok,Cash,4,1,1,1,8.09
154,2026-01-05,Amman,Desktop,TikTok,Wallet,1,1,1,1,58.76
155,2026-03-12,Aqaba,Mobile,Organic,Cash,1,1,1,1,22.68
156,2026-01-14,Amman,Mobile,Organic,Card,3,0,0,0,0.0
157,2026-02-26,Aqaba,Desktop,Instagram,Wallet,4,1,1,1,55.49
158,2026-03-18,Zarqa,Mobile,Instagram,Card,1,0,0,0,0.0
159,2026-03-13,Irbid,Desktop,Organic,Wallet,4,1,1,1,54.85
160,2026-03-26,Zarqa,Desktop,Paid Ads,Wallet,2,0,0,0,0.0
161,2026-01-11,Amman,Desktop,Email,Cash,3,1,1,1,12.03
162,2026-01-03,Zarqa,Desktop,Paid Ads,Card,3,1,0,0,0.0
163,2026-01-18,Amman,Desktop,Email,Card,2,1,1,1,47.4
164,2026-03-18,Irbid,Desktop,Organic,Cash,4,1,1,1,39.36
165,2026-02-16,Zarqa,Desktop,Paid Ads,Wallet,2,0,0,0,0.0
166,2026-01-31,Aqaba,Mobile,Instagram,Wallet,3,0,0,0,0.0
167,2026-03-15,Irbid,Mobile,Email,Card,4,1,1,1,34.01
168,2026-02-02,Amman,Desktop,Organic,Card,1,1,1,1,10.64
169,2026-02-04,Irbid,Desktop,Organic,Card,4,0,0,0,0.0
170,2026-02-27,Aqaba,Mobile,TikTok,Wallet,3,0,0,0,0.0
171,2026-02-17,Amman,Desktop,Paid Ads,Card,2,1,1,1,22.53
172,2026-01-05,Aqaba,Mobile,TikTok,Cash,3,0,0,0,0.0
173,2026-03-20,Amman,Desktop,Paid Ads,Card,1,0,0,0,0.0
174,2026-03-12,Amman,Mobile,TikTok,Wallet,5,1,1,1,21.56
175,2026-03-21,Irbid,Mobile,Instagram,Cash,4,1,1,1,34.48
176,2026-01-01,Zarqa,Mobile,Email,Wallet,5,1,1,1,41.75
177,2026-03-06,Zarqa,Desktop,Organic,Cash,5,1,1,1,39.96
178,2026-01-09,Zarqa,Mobile,Organic,Cash,3,1,1,1,37.0
179,2026-03-11,Irbid,Desktop,TikTok,Wallet,3,0,0,0,0.0
180,2026-01-24,Amman,Mobile,Organic,Cash,2,1,1,1,21.14
181,2026-02-09,Irbid,Desktop,Instagram,Card,5,1,1,1,7.01
182,2026-03-25,Aqaba,Desktop,Instagram,Card,3,1,1,1,27.0
183,2026-03-05,Aqaba,Mobile,TikTok,Wallet,4,1,1,1,9.54
184,2026-01-24,Aqaba,Desktop,Paid Ads,Wallet,5,1,1,1,21.26
185,2026-02-26,Aqaba,Desktop,Organic,Card,3,1,1,1,38.82
186,2026-03-27,Irbid,Desktop,Organic,Card,4,1,1,1,57.4
187,2026-01-09,Zarqa,Desktop,TikTok,Wallet,2,0,0,0,0.0
188,2026-01-05,Amman,Mobile,Email,Cash,5,1,1,1,29.42
189,2026-02-20,Aqaba,Desktop,Email,Card,3,1,1,1,45.46
190,2026-02-03,Aqaba,Mobile,Organic,Card,3,1,1,1,43.17
191,2026-01-10,Zarqa,Desktop,Organic,Wallet,4,1,1,0,0.0
192,2026-03-11,Irbid,Mobile,Instagram,Wallet,3,0,0,0,0.0
193,2026-01-29,Irbid,Mobile,TikTok,Card,1,0,0,0,0.0
194,2026-02-16,Irbid,Mobile,Organic,Cash,5,1,1,0,0.0
195,2026-02-20,Zarqa,Mobile,TikTok,Cash,4,1,1,1,9.06
196,2026-03-29,Irbid,Mobile,TikTok,Wallet,5,1,1,0,0.0
197,2026-01-08,Irbid,Desktop,Email,Cash,1,1,1,1,56.41
198,2026-01-11,Zarqa,Mobile,Instagram,Wallet,3,1,0,0,0.0
199,2026-03-10,Irbid,Mobile,Email,Wallet,1,1,1,0,0.0
200,2026-03-19,Amman,Mobile,Organic,Card,3,0,0,0,0.0
201,2026-03-24,Amman,Desktop,Email,Cash,5,1,1,1,39.0
202,2026-03-24,Amman,Mobile,Paid Ads,Cash,3,1,1,1,21.36
203,2026-02-23,Zarqa,Desktop,TikTok,Card,4,1,1,1,52.38
204,2026-02-17,Irbid,Mobile,Organic,Card,5,1,1,1,19.71
205,2026-02-07,Aqaba,Mobile,Paid Ads,Cash,4,0,0,0,0.0
206,2026-03-15,Aqaba,Desktop,Instagram,Cash,3,1,1,0,0.0
207,2026-01-03,Aqaba,Mobile,Paid Ads,Wallet,1,0,0,0,0.0
208,2026-02-15,Aqaba,Desktop,Email,Card,1,1,1,1,40.98
209,2026-01-14,Amman,Desktop,Organic,Wallet,4,1,1,1,27.18
210,2026-03-13,Zarqa,Mobile,Paid Ads,Card,2,1,1,1,29.77
211,2026-02-20,Zarqa,Desktop,Paid Ads,Card,3,0,0,0,0.0
212,2026-03-19,Aqaba,Desktop,Paid Ads,Wallet,5,1,1,1,44.25
213,2026-03-07,Zarqa,Desktop,Email,Wallet,2,1,1,1,59.48
214,2026-03-10,Zarqa,Desktop,Organic,Cash,4,1,1,0,0.0
215,2026-03-16,Amman,Desktop,Instagram,Wallet,3,0,0,0,0.0
216,2026-03-16,Aqaba,Mobile,Paid Ads,Card,5,1,1,1,33.83
217,2026-03-15,Irbid,Desktop,Email,Wallet,1,1,1,1,27.71
218,2026-03-02,Aqaba,Desktop,Instagram,Card,1,1,1,1,59.9
219,2026-02-28,Zarqa,Desktop,Paid Ads,Card,5,1,1,1,44.65
220,2026-02-05,Zarqa,Desktop,Paid Ads,Wallet,5,1,0,0,0.0
221,2026-03-04,Zarqa,Desktop,Organic,Wallet,3,1,1,0,0.0
222,2026-03-28,Zarqa,Mobile,Instagram,Card,5,1,0,0,0.0
223,2026-02-06,Irbid,Desktop,Email,Wallet,1,1,1,1,31.35
224,2026-02-04,Irbid,Mobile,Organic,Card,2,1,1,1,7.79
225,2026-02-22,Irbid,Desktop,TikTok,Cash,3,1,1,1,5.28
226,2026-03-25,Zarqa,Desktop,Instagram,Wallet,2,0,0,0,0.0
227,2026-01-08,Amman,Mobile,TikTok,Card,1,1,1,1,51.77
228,2026-01-05,Irbid,Desktop,Organic,Card,4,0,0,0,0.0
229,2026-02-08,Zarqa,Desktop,TikTok,Wallet,5,1,0,0,0.0
230,2026-03-11,Aqaba,Desktop,Paid Ads,Card,5,1,0,0,0.0
231,2026-02-12,Zarqa,Desktop,Email,Wallet,2,1,1,1,5.77
232,2026-01-25,Zarqa,Mobile,TikTok,Wallet,2,1,1,1,28.52
233,2026-01-13,Aqaba,Desktop,Paid Ads,Card,2,0,0,0,0.0
234,2026-02-03,Zarqa,Mobile,Instagram,Wallet,4,1,1,0,0.0
235,2026-02-16,Zarqa,Mobile,Instagram,Cash,2,1,1,1,27.3
236,2026-03-20,Zarqa,Desktop,Email,Cash,2,1,1,1,46.13
237,2026-03-10,Amman,Desktop,Email,Wallet,2,0,0,0,0.0
238,2026-02-16,Amman,Mobile,Email,Wallet,1,0,0,0,0.0
239,2026-01-26,Irbid,Desktop,Organic,Wallet,5,1,1,1,29.3
240,2026-02-27,Aqaba,Desktop,Organic,Cash,1,1,1,1,8.18
241,2026-02-02,Amman,Mobile,Organic,Cash,1,1,1,1,23.95
242,2026-01-05,Aqaba,Desktop,TikTok,Cash,3,1,1,1,58.81
243,2026-02-18,Irbid,Desktop,Organic,Card,4,1,0,0,0.0
244,2026-03-10,Amman,Desktop,TikTok,Wallet,4,1,1,1,5.19
245,2026-03-11,Zarqa,Mobile,Organic,Card,4,1,1,1,24.04
246,2026-03-26,Amman,Mobile,Paid Ads,Card,4,1,0,0,0.0
247,2026-01-13,Amman,Desktop,TikTok,Card,5,1,1,1,7.68
248,2026-03-11,Amman,Mobile,Email,Cash,2,0,0,0,0.0
249,2026-01-30,Zarqa,Mobile,Email,Card,5,1,1,1,22.64
250,2026-02-22,Irbid,Desktop,Email,Cash,3,1,1,1,45.44
251,2026-01-07,Aqaba,Desktop,TikTok,Cash,3,0,0,0,0.0
252,2026-01-20,Zarqa,Mobile,TikTok,Card,3,1,1,1,51.71
253,2026-03-13,Irbid,Desktop,Paid Ads,Cash,4,0,0,0,0.0
254,2026-01-27,Zarqa,Mobile,Email,Wallet,3,1,0,0,0.0
255,2026-01-25,Irbid,Mobile,TikTok,Card,1,1,1,1,53.05
256,2026-02-12,Amman,Mobile,Paid Ads,Wallet,3,0,0,0,0.0
257,2026-01-16,Irbid,Desktop,Paid Ads,Wallet,4,0,0,0,0.0
258,2026-02-11,Aqaba,Desktop,Organic,Wallet,3,1,1,1,19.39
259,2026-03-02,Zarqa,Desktop,TikTok,Card,3,0,0,0,0.0
260,2026-03-14,Aqaba,Desktop,Paid Ads,Card,2,1,1,1,37.12
261,2026-02-12,Zarqa,Desktop,TikTok,Wallet,2,1,1,1,41.0
262,2026-03-24,Aqaba,Mobile,Email,Wallet,4,1,1,1,12.7
263,2026-01-08,Amman,Desktop,Paid Ads,Wallet,5,1,1,1,41.75
264,2026-01-30,Aqaba,Desktop,Organic,Card,1,1,1,1,25.53
265,2026-03-10,Zarqa,Mobile,Email,Wallet,5,1,1,0,0.0
266,2026-03-28,Irbid,Mobile,Organic,Wallet,4,0,0,0,0.0
267,2026-01-20,Aqaba,Mobile,Instagram,Cash,2,1,1,1,19.7
268,2026-02-28,Amman,Mobile,Organic,Cash,5,1,1,1,50.54
269,2026-02-18,Aqaba,Desktop,Instagram,Wallet,4,1,1,1,14.43
270,2026-01-13,Irbid,Mobile,Email,Cash,5,0,0,0,0.0
271,2026-02-04,Zarqa,Mobile,Paid Ads,Cash,1,0,0,0,0.0
272,2026-01-03,Amman,Desktop,Paid Ads,Wallet,2,1,1,1,26.91
273,2026-01-31,Aqaba,Desktop,TikTok,Wallet,5,0,0,0,0.0
274,2026-01-18,Amman,Mobile,TikTok,Card,1,1,0,0,0.0
275,2026-01-10,Zarqa,Mobile,Instagram,Cash,3,1,1,1,58.29
276,2026-03-04,Aqaba,Mobile,Email,Wallet,2,1,0,0,0.0
277,2026-02-18,Zarqa,Mobile,Organic,Card,1,0,0,0,0.0
278,2026-02-04,Zarqa,Mobile,Organic,Card,2,1,1,1,26.43
279,2026-02-09,Aqaba,Desktop,Organic,Card,4,1,1,1,15.31
280,2026-01-12,Amman,Desktop,TikTok,Cash,3,1,1,1,52.5
281,2026-01-11,Irbid,Mobile,TikTok,Card,5,0,0,0,0.0
282,2026-01-18,Aqaba,Desktop,TikTok,Card,3,1,1,1,28.91
283,2026-02-16,Aqaba,Mobile,TikTok,Card,3,0,0,0,0.0
284,2026-01-18,Zarqa,Desktop,Instagram,Cash,3,1,1,1,25.89
285,2026-03-25,Irbid,Desktop,Instagram,Card,5,1,1,0,0.0
286,2026-02-20,Irbid,Desktop,TikTok,Cash,3,1,1,1,36.67
287,2026-02-20,Amman,Desktop,Paid Ads,Cash,3,1,1,1,35.01
288,2026-02-07,Aqaba,Desktop,Paid Ads,Wallet,1,0,0,0,0.0
289,2026-02-08,Aqaba,Desktop,Email,Cash,2,1,1,1,25.73
290,2026-03-10,Aqaba,Mobile,Instagram,Wallet,5,0,0,0,0.0
291,2026-03-10,Zarqa,Mobile,Email,Card,5,1,1,0,0.0
292,2026-03-14,Zarqa,Desktop,Organic,Card,4,0,0,0,0.0
293,2026-01-13,Irbid,Desktop,Instagram,Cash,3,1,1,1,42.82
294,2026-03-01,Aqaba,Mobile,Instagram,Cash,5,1,1,0,0.0
295,2026-01-11,Irbid,Desktop,Instagram,Cash,1,0,0,0,0.0
296,2026-02-28,Aqaba,Desktop,Organic,Cash,2,1,1,1,44.71
297,2026-01-06,Irbid,Mobile,Email,Card,1,1,1,1,49.0
298,2026-02-12,Irbid,Desktop,TikTok,Card,5,1,1,1,39.64
299,2026-03-20,Zarqa,Mobile,Email,Card,2,1,1,1,16.81
300,2026-03-10,Aqaba,Desktop,Email,Cash,2,1,1,1,41.89
301,2026-03-20,Irbid,Desktop,Email,Wallet,4,1,1,0,0.0
302,2026-01-11,Irbid,Desktop,TikTok,Wallet,2,1,1,1,25.53
303,2026-01-18,Irbid,Mobile,TikTok,Cash,5,1,1,1,43.14
304,2026-01-18,Amman,Desktop,Paid Ads,Card,2,1,1,1,24.75
305,2026-02-19,Aqaba,Desktop,Paid Ads,Card,5,1,1,1,27.86
306,2026-03-14,Irbid,Desktop,Organic,Cash,1,0,0,0,0.0
307,2026-01-29,Aqaba,Mobile,Email,Card,5,1,1,1,47.49
308,2026-02-04,Zarqa,Mobile,TikTok,Wallet,5,0,0,0,0.0
309,2026-01-28,Amman,Desktop,Instagram,Cash,4,1,1,1,21.37
310,2026-01-12,Amman,Mobile,Paid Ads,Wallet,4,0,0,0,0.0
311,2026-03-17,Aqaba,Mobile,Email,Card,3,0,0,0,0.0
312,2026-01-27,Zarqa,Desktop,Email,Wallet,2,0,0,0,0.0
313,2026-01-22,Zarqa,Desktop,Email,Cash,3,0,0,0,0.0
314,2026-03-07,Zarqa,Mobile,Paid Ads,Card,1,1,1,1,8.26
315,2026-01-19,Aqaba,Desktop,Paid Ads,Wallet,3,0,0,0,0.0
316,2026-03-22,Amman,Desktop,Email,Wallet,3,1,1,1,48.7
317,2026-02-05,Amman,Desktop,Instagram,Card,3,1,1,1,52.79
318,2026-03-10,Zarqa,Desktop,Email,Wallet,4,1,1,1,19.77
319,2026-01-17,Zarqa,Mobile,Organic,Card,5,0,0,0,0.0
320,2026-03-22,Irbid,Desktop,TikTok,Card,4,1,0,0,0.0
321,2026-02-24,Irbid,Desktop,Paid Ads,Cash,2,0,0,0,0.0
322,2026-01-12,Aqaba,Desktop,Paid Ads,Cash,3,1,1,1,14.1
323,2026-03-25,Irbid,Desktop,Organic,Card,1,1,1,1,12.3
324,2026-03-31,Aqaba,Mobile,TikTok,Card,3,0,0,0,0.0
325,2026-01-30,Zarqa,Mobile,TikTok,Card,4,1,1,1,25.22
326,2026-03-24,Zarqa,Mobile,Paid Ads,Cash,2,1,1,1,14.03
327,2026-03-20,Amman,Mobile,Paid Ads,Card,4,0,0,0,0.0
328,2026-03-17,Irbid,Desktop,Organic,Card,4,1,1,0,0.0
329,2026-03-12,Amman,Desktop,Paid Ads,Wallet,5,1,1,0,0.0
330,2026-03-19,Irbid,Desktop,TikTok,Card,5,1,1,1,48.11
331,2026-01-31,Zarqa,Desktop,Paid Ads,Cash,4,1,1,1,5.66
332,2026-03-14,Amman,Mobile,Email,Card,4,1,1,0,0.0
333,2026-01-02,Aqaba,Desktop,Email,Cash,3,1,0,0,0.0
334,2026-02-24,Zarqa,Mobile,Email,Card,4,1,1,1,20.26
335,2026-01-20,Amman,Desktop,TikTok,Wallet,5,1,1,1,40.74
336,2026-01-31,Amman,Desktop,Email,Wallet,1,1,0,0,0.0
337,2026-01-08,Irbid,Mobile,Paid Ads,Cash,3,1,1,1,5.7
338,2026-02-14,Zarqa,Mobile,Organic,Cash,5,1,1,1,25.45
339,2026-02-24,Amman,Desktop,TikTok,Wallet,3,1,1,0,0.0
340,2026-02-16,Amman,Mobile,Paid Ads,Wallet,1,1,1,1,19.03
341,2026-03-07,Aqaba,Mobile,Paid Ads,Card,1,1,1,1,30.95
342,2026-03-12,Zarqa,Desktop,Organic,Wallet,4,1,1,0,0.0
343,2026-02-17,Irbid,Mobile,Email,Card,1,1,0,0,0.0
344,2026-02-21,Zarqa,Desktop,Instagram,Card,1,0,0,0,0.0
345,2026-03-12,Irbid,Desktop,Instagram,Wallet,4,1,1,1,21.72
346,2026-03-05,Irbid,Mobile,TikTok,Card,2,1,1,0,0.0
